"ids","department","bases","experience","raises","salary"
1,"sociology",39012.0629966259,3,2122.3256460391,45379.0399347432
2,"biology",51872.1239408478,9,541.64397532586,56746.9197187806
3,"english",64341.1264680326,3,543.178640585393,65970.6623897888
4,"informatics",68975.2667541616,2,1736.94683943875,72449.1604330391
5,"statistics",78262.2787021101,9,469.943147781305,82491.7670321418
6,"sociology",40527.1907523274,3,1884.13721611723,46179.6024006791
7,"biology",50845.1282070018,9,457.213771343231,54960.0521490909
8,"english",63327.141285874,3,481.97731806431,64773.0732400669
9,"informatics",63734.7865789197,0,1696.45053248387,63734.7865789197
10,"statistics",77417.8496785462,8,458.993073250167,81089.7942645475
11,"sociology",42666.2755031139,5,1821.429637447,51773.4236903489
12,"biology",53921.1371797137,9,541.707351058722,58796.5033392422
13,"english",58903.1922994182,3,543.421521992423,60533.4568653954
14,"informatics",67038.5066228919,3,1550.06046005525,71688.6880030576
15,"statistics",81172.6337224245,3,529.30909015704,82760.5609928956
16,"sociology",42380.7321544737,6,2118.10178104788,55089.3428407609
17,"biology",54845.6392856315,0,451.073142327368,54845.6392856315
18,"english",59727.2051358595,5,519.386257929727,62324.1364255082
19,"informatics",71374.0627844818,1,1647.79750745278,73021.8602919346
20,"statistics",81212.9995599389,0,536.304325493984,81212.9995599389
21,"sociology",41398.7586367875,3,2005.53971920162,47415.3777943924
22,"biology",52084.3141060323,5,456.810327572748,54368.365743896
23,"english",63355.5512018502,2,492.797477822751,64341.1461574957
24,"informatics",67665.8277316019,5,1808.66158453282,76709.135654266
25,"statistics",75339.5305015147,7,453.937998833135,78517.0964933466
26,"sociology",38986.7477864027,2,1920.2045631595,42827.1569127217
27,"biology",51717.3385759816,2,498.651326913387,52714.6412298083
28,"english",57240.8060180023,8,524.205698468722,61434.4516057521
29,"informatics",74771.964697633,1,1611.33336315863,76383.2980607916
30,"statistics",87009.8760612309,9,481.401488743722,91342.4894599244
31,"sociology",39021.9879336655,7,1850.44724596664,51975.118655432
32,"biology",53656.4718000591,1,534.610240953043,54191.0820410121
33,"english",59604.4809669256,9,509.416110487655,64189.2259613145
34,"informatics",68668.787392322,9,1683.27461085282,83818.2588899974
35,"statistics",79453.7497013807,6,471.557196998037,82283.092883369
36,"sociology",38651.6067590564,8,2057.77165293694,55113.7799825519
37,"biology",47850.4095436074,3,517.228478426114,49402.0949788857
38,"english",56125.781298615,9,481.067504151724,60455.3888359806
39,"informatics",72579.9169512466,4,1850.07929557469,79980.2341335453
40,"statistics",80671.8232184649,9,468.092397577129,84884.654796659
41,"sociology",41498.4213933349,9,2150.35231485963,60851.5922270715
42,"biology",45145.8828453906,6,506.404815218411,48184.3117367011
43,"english",59259.4498386607,1,464.733528974466,59724.1833676351
44,"informatics",74634.802123066,4,1542.79465167318,80805.9807297587
45,"statistics",81838.330976665,8,451.464055059478,85450.0434171408
46,"sociology",43841.284699738,4,1970.9150317125,51724.944826588
47,"biology",54359.8967324942,3,462.350492295809,55746.9482093817
48,"english",56768.2509915903,0,548.739631404169,56768.2509915903
49,"informatics",76086.9646994397,4,1560.93845356721,82330.7185137086
50,"statistics",82694.8878727853,7,463.462746120058,85939.1270956257
51,"sociology",38162.3346786946,3,2035.71668080986,44269.4847211242
52,"biology",46926.1656329036,2,484.07770334743,47894.3210395984
53,"english",59231.8873694167,5,456.319838832133,61513.4865635773
54,"informatics",63165.3795856982,8,1675.47171680722,76569.153320156
55,"statistics",72945.4505071044,1,459.488877258264,73404.9393843627
56,"sociology",39573.9949084818,8,1892.20192357898,54711.6102971137
57,"biology",48144.9375464581,8,517.629864206538,52285.9764601104
58,"english",61502.9735835269,2,539.872801210731,62582.7191859484
59,"informatics",64953.3919091337,1,1550.53664298262,66503.9285521163
60,"statistics",74950.8210010827,6,542.551128030755,78206.1277692672
61,"sociology",41008.1466529518,9,1937.88063293323,58449.0723493509
62,"biology",51465.5086467974,8,461.030618334189,55153.7535934709
63,"english",55531.1233224347,2,541.930862865411,56614.9850481655
64,"informatics",70136.1535857432,5,1767.93611599132,78975.8341656998
